"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"При нажатии на кнопку отмены и подтверждения отмены новость не создается","15431","Отменить создание новости","","Fri Sep 20 09:46:13 NOVT 2024","passed","Fri Sep 20 09:46:28 NOVT 2024","","ru.iteco.fmhandroid.ui.test.NewsTest","ru.iteco.fmhandroid.ui.test.NewsTest","shouldCancelNewsCreation"
"При незаполненном поле Заголовок новсть не создается, всплывает предупреждение о необходимости заоплнить поле","14475","Создать новость с пустым полем Заголовок","","Fri Sep 20 09:45:40 NOVT 2024","passed","Fri Sep 20 09:45:55 NOVT 2024","","ru.iteco.fmhandroid.ui.test.NewsTest","ru.iteco.fmhandroid.ui.test.NewsTest","shouldNotCreateNewsWithEmptyTitle"
"При нажатии на кнопку в виде бабочки пользователь переходит на страницу Наша миссия","12937","Переход на страницу Наша миссия","","Sat Sep 21 19:13:21 NOVT 2024","passed","Sat Sep 21 19:13:34 NOVT 2024","","ru.iteco.fmhandroid.ui.test.MainScreenTest","ru.iteco.fmhandroid.ui.test.MainScreenTest","shouldCheckTransitionToOurMissionScreen"
"","35234","successAuthorizationTest","","Thu Sep 19 14:31:53 NOVT 2024","passed","Thu Sep 19 14:32:29 NOVT 2024","","ru.iteco.fmhandroid.ui.AuthourizationTest","ru.iteco.fmhandroid.ui.AuthourizationTest","successAuthorizationTest"
"Корректность отображения всех элементов экрана Авторизация","10906","Проверка элементов экрана авторизации","","Thu Sep 19 19:01:03 NOVT 2024","passed","Thu Sep 19 19:01:14 NOVT 2024","","ru.iteco.fmhandroid.ui.test.AuthTest","ru.iteco.fmhandroid.ui.test.AuthTest","shouldCheckAuthScreenElements"
"При нажатии на кнопку сортировки меняется порядок отображения новостей по дате создания новости","16903","Кликабельность кнопки сортировки списка по дате","","Fri Sep 20 09:47:18 NOVT 2024","passed","Fri Sep 20 09:47:35 NOVT 2024","","ru.iteco.fmhandroid.ui.test.NewsTest","ru.iteco.fmhandroid.ui.test.NewsTest","shouldChangeNewsOrder"
"При ручном вводе невалидного часа при создании новости всплывает предупреждение о невалидном значении времени","17718","Создать новость с ручным вводом невалидного часа","","Fri Sep 20 09:50:24 NOVT 2024","passed","Fri Sep 20 09:50:42 NOVT 2024","","ru.iteco.fmhandroid.ui.test.NewsTest","ru.iteco.fmhandroid.ui.test.NewsTest","shouldShowInvalidHourWarning"
"При нажатии на отдельную новость разворачивается ее содержание","13159","Кликабельность кнопок свернуть/развернуть в каждой Новости главного меню","","Sat Sep 21 19:13:34 NOVT 2024","broken","Sat Sep 21 19:13:47 NOVT 2024","","ru.iteco.fmhandroid.ui.test.MainScreenTest","ru.iteco.fmhandroid.ui.test.MainScreenTest","shouldExpandAndHideSingleNews"
"При попытке авторизоваться с пустыми логином и паролем пользователь не авторизуется, всплывает сообщение о незаполненных полях","9259","Вход в личный кабинет со всеми пустыми полями","","Sat Sep 21 20:14:05 NOVT 2024","passed","Sat Sep 21 20:14:14 NOVT 2024","","ru.iteco.fmhandroid.ui.test.AuthTest","ru.iteco.fmhandroid.ui.test.AuthTest","shouldNotLogInWithEmptyData"
"При вводе невалидных значений логина и пароля всплывает сообщение о неверных данных","7688","В полях Логин и Пароль ввести невалидные данные","","Sat Sep 21 20:14:33 NOVT 2024","passed","Sat Sep 21 20:14:41 NOVT 2024","","ru.iteco.fmhandroid.ui.test.AuthTest","ru.iteco.fmhandroid.ui.test.AuthTest","shouldNotLogInWithInvalidData"
"При нажатии на кнопку отмены без подтверждения пользователь продолжает создание новости","14752","Отменить создание новости и вернуться к созданию","","Fri Sep 20 09:47:35 NOVT 2024","passed","Fri Sep 20 09:47:50 NOVT 2024","","ru.iteco.fmhandroid.ui.test.NewsTest","ru.iteco.fmhandroid.ui.test.NewsTest","shouldCancelNewsCreationAndReturn"
